year,reporterDesc,partnerDesc,flowDesc,cmdCode,cmdDesc,trade_value_USD,netWgt,qty,qtyUnitAbbr
2018,Mauritania,World,Import,10,Cereals,209594120.91,0,0,N/A
2018,Mauritania,World,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",526774775.15,0,0,N/A
2018,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1044496467.53,0,0,N/A
2018,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",88549661.25,0,0,N/A
2018,Mauritania,World,Import,26,"Ores, slag and ash",608.13,0,0,N/A
2019,Mauritania,World,Import,10,Cereals,210836290.72,0,0,N/A
2019,Mauritania,World,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",381006256.74,0,0,N/A
2019,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1046278008.48,0,0,N/A
2019,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",128824677.45,0,0,N/A
2019,Mauritania,World,Import,26,"Ores, slag and ash",55366.93,0,0,N/A
2020,Mauritania,World,Import,10,Cereals,202851143.234,0,0,N/A
2020,Mauritania,World,Import,10,Cereals,26.89,0,0,N/A
2020,Mauritania,World,Import,10,Cereals,201510724.206,0,0,N/A
2020,Mauritania,World,Import,10,Cereals,1340392.138,0,0,N/A
2020,Mauritania,World,Import,26,"Ores, slag and ash",2059061.515,0,0,N/A
2020,Mauritania,World,Import,26,"Ores, slag and ash",665.871,0,0,N/A
2020,Mauritania,World,Import,26,"Ores, slag and ash",2058395.643,0,0,N/A
2020,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",795084439.779,0,0,N/A
2020,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",45813.356,0,0,N/A
2020,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",656030400.989,0,0,N/A
2020,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",139008225.434,0,0,N/A
2020,Mauritania,World,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",311886718.669,0,0,N/A
2020,Mauritania,World,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",24584497.84,0,0,N/A
2020,Mauritania,World,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",258351040.322,0,0,N/A
2020,Mauritania,World,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",28951180.506,0,0,N/A
2020,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",87217980.705,0,0,N/A
2020,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",10140385.392,0,0,N/A
2020,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",72698518.273,0,0,N/A
2020,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",4379077.04,0,0,N/A
2021,Mauritania,World,Import,10,Cereals,250475966.28,0,0,N/A
2021,Mauritania,World,Import,26,"Ores, slag and ash",5037.55,0,0,N/A
2021,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1015635687.08,0,0,N/A
2021,Mauritania,World,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",391687014.13,0,0,N/A
2021,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",115918373.11,0,0,N/A
2022,Mauritania,World,Import,26,"Ores, slag and ash",66680.541,0,0,N/A
2022,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",110156589.053,0,0,N/A
2022,Mauritania,World,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",392732324.891,0,0,N/A
2022,Mauritania,World,Import,10,Cereals,358083282.755,0,0,N/A
2022,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2010110518.581,0,0,N/A
2023,Mauritania,World,Import,26,"Ores, slag and ash",48180.563,0,0,N/A
2023,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",196577553.75,0,0,N/A
2023,Mauritania,World,Import,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",452130465.774,0,0,N/A
2023,Mauritania,World,Import,10,Cereals,247223397.708,0,0,N/A
2023,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1733934800.46,0,0,N/A
2024,Mauritania,World,Import,10,Cereals,278291515.586,0,0,N/A
2024,Mauritania,World,Import,26,"Ores, slag and ash",127446.374,0,0,N/A
2024,Mauritania,World,Import,84,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",507967499.218,0,0,N/A
2024,Mauritania,World,Import,27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",1671993510.841,0,0,N/A
2024,Mauritania,World,Import,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",178171139.659,0,0,N/A
